weightKg,pressureAltitudeFt,temperatureC,takeoffGroundRollM,takeoffOver50M,headwindTO%/kt,tailwindTO%/kt
660,2000,-10,233,301,2.66,0.73
680,2000,-10,245,316,2.63,1.86
700,2000,-10,263,338,2.59,3.38
720,2000,-10,279,359,2.56,0.49
740,2000,-10,298,383,2.53,2.42
760,2000,-10,319,409,2.5,1.22
780,2000,-10,338,434,2.47,0.35
800,2000,-10,359,461,2.44,1.82
600,2000,-5,204,266,2.75,2.57
620,2000,-5,217,282,2.71,0.98
640,2000,-5,230,298,2.67,0.42
660,2000,-5,244,315,2.64,1.77
680,2000,-5,259,333,2.6,3.06
700,2000,-5,278,357,2.56,0.81
720,2000,-5,296,379,2.53,2.01
740,2000,-5,316,405,2.5,1.49
760,2000,-5,337,433,2.47,0.26
780,2000,-5,358,460,2.44,1.75
800,2000,-5,379,488,2.42,1.9
600,2000,0,205,266,2.75,2.54
620,2000,0,221,286,2.7,0.55
640,2000,0,237,307,2.65,1.14
660,2000,0,255,328,2.61,2.73
680,2000,0,272,350,2.57,1.69
700,2000,0,293,375,2.54,1.56
720,2000,0,312,400,2.51,1.82
740,2000,0,333,427,2.48,0.08
760,2000,0,355,457,2.45,1.59
780,2000,0,377,485,2.42,2.34
800,2000,0,400,514,2.4,2.39
600,2000,5,214,278,2.72,1.31
620,2000,5,232,300,2.67,0.62
640,2000,5,249,322,2.62,2.29
660,2000,5,268,345,2.58,2.39
680,2000,5,287,369,2.55,0.78
700,2000,5,309,396,2.51,2.11
720,2000,5,329,422,2.48,0.35
740,2000,5,351,451,2.45,1.31
760,2000,5,375,482,2.42,2.85
780,2000,5,398,512,2.4,2.03
800,2000,5,423,545,2.39,1.17
600,2000,10,226,292,2.68,0.05
620,2000,10,244,315,2.64,1.77
640,2000,10,262,338,2.59,3.37
660,2000,10,282,363,2.56,0.02
680,2000,10,303,388,2.52,2.68
700,2000,10,325,416,2.49,0.72
720,2000,10,347,445,2.46,0.98
740,2000,10,370,476,2.43,2.56
760,2000,10,395,508,2.41,1.32
780,2000,10,419,541,2.39,1.41
800,2000,10,445,577,2.38,0.35
600,2000,15,237,307,2.65,1.16
620,2000,15,256,330,2.61,2.87
640,2000,15,276,355,2.57,1.03
660,2000,15,297,381,2.53,2.25
680,2000,15,319,408,2.5,1.23
700,2000,15,342,439,2.46,0.62
720,2000,15,365,469,2.44,2.25
740,2000,15,390,502,2.41,0.33
760,2000,15,416,536,2.39,1.66
780,2000,15,442,572,2.38,0.12
800,2000,15,469,611,2.37,1.81
600,2000,20,249,321,2.62,2.25
620,2000,20,269,346,2.58,2.29
640,2000,20,290,372,2.54,1.17
660,2000,20,312,400,2.51,1.79
680,2000,20,335,429,2.47,0.08
700,2000,20,359,461,2.44,1.83
720,2000,20,384,493,2.42,0.98
740,2000,20,410,528,2.4,2.09
760,2000,20,437,565,2.38,0.18
780,2000,20,464,603,2.38,1.51
800,2000,20,494,645,2.36,0.64
600,2000,25,262,337,2.6,3.31
620,2000,25,282,363,2.56,0
640,2000,25,305,390,2.52,2.48
660,2000,25,328,421,2.48,0.45
680,2000,25,352,452,2.45,1.33
700,2000,25,377,485,2.42,2.42
720,2000,25,403,518,2.4,2.63
740,2000,25,431,557,2.39,0.59
760,2000,25,459,596,2.38,1.21
780,2000,25,488,637,2.36,0.56
800,2000,25,518,683,2.34,1.56
600,2000,30,274,353,2.57,1.35
620,2000,30,296,380,2.53,2.12
640,2000,30,320,410,2.49,1.15
660,2000,30,344,442,2.46,0.78
680,2000,30,369,474,2.43,2.49
700,2000,30,395,508,2.4,1.43
720,2000,30,422,545,2.39,1.18
740,2000,30,452,586,2.38,0.77
760,2000,30,481,628,2.37,1.98
780,2000,30,512,672,2.35,1.97
800,2000,30,543,723,2.31,0.21
600,2000,35,288,370,2.55,0.88
620,2000,35,311,399,2.51,1.86
640,2000,35,336,431,2.47,0.16
660,2000,35,361,464,2.44,1.98
680,2000,35,387,498,2.41,0.19
700,2000,35,415,535,2.39,1.71
720,2000,35,444,574,2.38,0.25
740,2000,35,475,618,2.37,2.11
760,2000,35,505,662,2.35,2.35
780,2000,35,537,713,2.32,0.55
800,2000,35,569,766,2.29,1.13
600,2000,40,302,387,2.52,2.74
620,2000,40,326,419,2.48,0.58
640,2000,40,352,452,2.45,1.35
660,2000,40,378,487,2.42,2.13
680,2000,40,406,522,2.4,2.39
700,2000,40,435,563,2.39,0.3
720,2000,40,465,604,2.37,1.54
740,2000,40,497,650,2.36,1.4
760,2000,40,529,700,2.33,0.99
780,2000,40,562,754,2.3,0.75
800,2000,40,596,810,2.27,0.77
600,4000,-20,204,266,2.75,2.57
620,4000,-20,218,283,2.71,0.91
640,4000,-20,231,299,2.67,0.54
660,4000,-20,246,317,2.63,1.93
680,4000,-20,261,336,2.6,3.24
700,4000,-20,280,360,2.56,0.41
720,4000,-20,298,382,2.53,2.39
740,4000,-20,318,408,2.5,1.25
760,4000,-20,340,436,2.47,0.49
780,4000,-20,361,464,2.44,1.97
800,4000,-20,383,492,2.42,1.18
600,4000,-15,206,268,2.74,2.33
620,4000,-15,223,289,2.69,0.32
640,4000,-15,240,310,2.65,1.4
660,4000,-15,258,332,2.6,3.01
680,4000,-15,276,355,2.57,1.04
700,4000,-15,297,380,2.53,2.16
720,4000,-15,316,405,2.5,1.43
740,4000,-15,337,433,2.47,0.29
760,4000,-15,360,463,2.44,1.93
780,4000,-15,383,492,2.42,1.19
800,4000,-15,406,522,2.4,2.41
600,4000,-10,218,282,2.71,0.95
620,4000,-10,235,304,2.66,0.95
640,4000,-10,253,326,2.61,2.6
660,4000,-10,272,350,2.58,1.71
680,4000,-10,292,374,2.54,1.41
700,4000,-10,313,401,2.5,1.71
720,4000,-10,334,429,2.47,0.03
740,4000,-10,356,458,2.45,1.67
760,4000,-10,380,489,2.42,1.67
780,4000,-10,404,519,2.4,2.55
800,4000,-10,429,554,2.39,0.73
600,4000,-5,230,297,2.67,0.37
620,4000,-5,248,320,2.63,2.16
640,4000,-5,267,344,2.59,2.61
660,4000,-5,287,369,2.55,0.78
680,4000,-5,308,395,2.51,2.17
700,4000,-5,330,424,2.48,0.25
720,4000,-5,353,453,2.45,1.42
740,4000,-5,377,485,2.42,2.47
760,4000,-5,402,517,2.4,2.72
780,4000,-5,427,551,2.39,0.87
800,4000,-5,454,588,2.38,0.87
600,4000,0,242,312,2.64,1.56
620,4000,0,261,336,2.6,3.25
640,4000,0,281,361,2.56,0.21
660,4000,0,303,388,2.52,2.66
680,4000,0,324,416,2.49,0.74
700,4000,0,348,447,2.46,1.07
720,4000,0,372,478,2.43,2.67
740,4000,0,397,511,2.4,1.81
760,4000,0,423,546,2.39,1.11
780,4000,0,450,583,2.38,0.64
800,4000,0,478,623,2.37,2.3
600,4000,5,255,328,2.61,2.74
620,4000,5,275,354,2.57,1.24
640,4000,5,297,380,2.53,2.15
660,4000,5,319,410,2.5,1.16
680,4000,5,342,440,2.46,0.67
