weightKg,pressureAltitudeFt,temperatureC,takeoffGroundRollM,takeoffOver50M,headwindTO%/kt,tailwindTO%/kt
740,8000,40,828,1008,2.17,0.99
760,8000,40,883,1008,2.16,0.99
780,8000,40,940,1008,2.12,2
800,8000,40,998,1008,2.08,0.11
600,10000,-20,335,430,2.47,0.1
620,10000,-20,363,467,2.44,2.11
640,10000,-20,391,503,2.41,0.51
660,10000,-20,421,543,2.39,1.31
680,10000,-20,453,587,2.38,0.81
700,10000,-20,485,632,2.37,1.26
720,10000,-20,518,682,2.34,1.61
740,10000,-20,552,738,2.31,0.27
760,10000,-20,587,796,2.28,1.96
780,10000,-20,625,861,2.26,1.35
800,10000,-20,664,932,2.24,0.44
600,10000,-15,355,456,2.45,1.54
620,10000,-15,385,495,2.41,0.75
640,10000,-15,414,533,2.39,1.79
660,10000,-15,446,578,2.38,0.4
680,10000,-15,480,626,2.37,2.2
700,10000,-15,514,675,2.35,1.84
720,10000,-15,548,732,2.31,0.08
740,10000,-15,585,791,2.28,1.84
760,10000,-15,623,858,2.26,1.44
780,10000,-15,663,931,2.24,0.42
800,10000,-15,704,1004,2.22,2.31
600,10000,-10,375,482,2.43,2.85
620,10000,-10,406,522,2.4,2.4
640,10000,-10,437,566,2.38,0.16
660,10000,-10,471,613,2.37,1.89
680,10000,-10,507,665,2.35,2.23
700,10000,-10,542,722,2.32,0.25
720,10000,-10,578,781,2.28,1.55
740,10000,-10,618,848,2.26,1.71
760,10000,-10,659,923,2.24,0.22
780,10000,-10,701,998,2.23,1.97
800,10000,-10,744,1008,2.2,2.33
600,10000,-5,395,509,2.4,1.48
620,10000,-5,428,553,2.39,0.78
640,10000,-5,462,599,2.38,1.35
660,10000,-5,497,650,2.36,1.29
680,10000,-5,534,709,2.32,0.67
700,10000,-5,572,770,2.29,1.24
720,10000,-5,610,834,2.26,2.09
740,10000,-5,652,911,2.24,0.05
760,10000,-5,696,989,2.23,1.78
780,10000,-5,739,1008,2.21,2.34
800,10000,-5,785,1008,2.19,2.32
600,10000,0,417,537,2.39,1.58
620,10000,0,451,585,2.38,0.74
640,10000,0,487,635,2.36,0.79
660,10000,0,523,691,2.34,1.29
680,10000,0,562,755,2.3,0.78
700,10000,0,602,820,2.27,2.13
720,10000,0,643,894,2.25,0.49
740,10000,0,688,974,2.23,1.44
760,10000,0,733,1008,2.21,2.34
780,10000,0,779,1008,2.19,2.32
800,10000,0,827,1008,2.17,1.03
600,10000,5,441,570,2.38,0.05
620,10000,5,478,622,2.37,2.27
640,10000,5,515,678,2.34,1.76
660,10000,5,552,739,2.31,0.28
680,10000,5,594,806,2.27,1.8
700,10000,5,636,882,2.25,0.8
720,10000,5,679,960,2.23,1.11
740,10000,5,726,1008,2.21,2.34
760,10000,5,773,1008,2.19,2.32
780,10000,5,823,1008,2.17,1.2
800,10000,5,874,1008,2.16,0.67
600,10000,10,464,603,2.38,1.5
620,10000,10,503,659,2.36,2.45
640,10000,10,542,722,2.32,0.25
660,10000,10,581,786,2.28,1.68
680,10000,10,625,862,2.26,1.32
700,10000,10,670,943,2.24,0.72
720,10000,10,715,1008,2.22,2.35
740,10000,10,764,1008,2.19,2.33
760,10000,10,813,1008,2.17,1.56
780,10000,10,867,1008,2.16,0.43
800,10000,10,920,1008,2.14,0.09
600,10000,15,488,638,2.36,0.46
620,10000,15,530,702,2.33,0.93
640,10000,15,569,766,2.29,1.12
660,10000,15,612,837,2.26,2.01
680,10000,15,658,922,2.24,0.2
700,10000,15,705,1006,2.22,2.35
720,10000,15,753,1008,2.2,2.33
740,10000,15,804,1008,2.18,2.3
760,10000,15,857,1008,2.16,0.09
780,10000,15,913,1008,2.14,0.71
800,10000,15,969,1008,2.1,1.02
600,10000,20,504,660,2.36,2.43
620,10000,20,546,729,2.31,0.04
640,10000,20,587,794,2.28,1.93
660,10000,20,631,873,2.25,1.04
680,10000,20,679,959,2.23,1.1
700,10000,20,727,1008,2.21,2.34
720,10000,20,777,1008,2.19,2.32
740,10000,20,830,1008,2.17,0.93
760,10000,20,885,1008,2.16,1.05
780,10000,20,942,1008,2.12,1.94
800,10000,20,999,1008,2.08,0.06
600,10000,25,504,660,2.36,2.43
620,10000,25,546,729,2.31,0.04
640,10000,25,587,794,2.28,1.93
660,10000,25,631,873,2.25,1.04
680,10000,25,679,959,2.23,1.1
700,10000,25,727,1008,2.21,2.34
720,10000,25,777,1008,2.19,2.32
740,10000,25,830,1008,2.17,0.93
760,10000,25,885,1008,2.16,1.05
780,10000,25,942,1008,2.12,1.94
800,10000,25,999,1008,2.08,0.06
600,10000,30,504,660,2.36,2.43
620,10000,30,546,729,2.31,0.04
640,10000,30,587,794,2.28,1.93
660,10000,30,631,873,2.25,1.04
680,10000,30,679,959,2.23,1.1
700,10000,30,727,1008,2.21,2.34
720,10000,30,777,1008,2.19,2.32
740,10000,30,830,1008,2.17,0.93
760,10000,30,885,1008,2.16,1.05
780,10000,30,942,1008,2.12,1.94
800,10000,30,999,1008,2.08,0.06
600,10000,35,504,660,2.36,2.43
620,10000,35,546,729,2.31,0.04
640,10000,35,587,794,2.28,1.93
660,10000,35,631,873,2.25,1.04
680,10000,35,679,959,2.23,1.1
700,10000,35,727,1008,2.21,2.34
720,10000,35,777,1008,2.19,2.32
740,10000,35,830,1008,2.17,0.93
760,10000,35,885,1008,2.16,1.05
780,10000,35,942,1008,2.12,1.94
800,10000,35,999,1008,2.08,0.06
600,10000,40,504,660,2.36,2.43
620,10000,40,546,729,2.31,0.04
640,10000,40,587,794,2.28,1.93
660,10000,40,631,873,2.25,1.04
680,10000,40,679,959,2.23,1.1
700,10000,40,727,1008,2.21,2.34
720,10000,40,777,1008,2.19,2.32
740,10000,40,830,1008,2.17,0.93
760,10000,40,885,1008,2.16,1.05
780,10000,40,942,1008,2.12,1.94
800,10000,40,999,1008,2.08,0.06
